id,Label
https://openalex.org/W2020788275,"Lon L. Fuller, Gustav Radbruch, and the “positivist” theses"
https://openalex.org/W3122704318,Human Rights and Liberal Toleration
https://openalex.org/W2023755414,Aristotle’s Concept of Law: Beyond Positivism and Natural Law
https://openalex.org/W2314721085,The Many Faces of Legal Positivism
https://openalex.org/W2010376637,Priorities: Equitable versus Legal Assignments of Book Debts
https://openalex.org/W2586157681,The (True) Nature of a Beneficiary’s Equitable Proprietary Interest under a Trust
https://openalex.org/W1986410150,Toward a Consistent Natural-Law Ethics of False Assertion
https://openalex.org/W1996790102,"Obligation, Loyalty, Exile:"
https://openalex.org/W1998687338,Effects of Defects-Action or Argument? Thoughts about Deryck Beyleveld and Roger Brownsword's Law as a Moral Judgment
https://openalex.org/W2034635248,How to Be a Free People
https://openalex.org/W2151540362,The legality of law
https://openalex.org/W2509878344,Natural Law Theories
https://openalex.org/W3122365267,The Demarcation Problem in Jurisprudence: A New Case for Scepticism
https://openalex.org/W1574674163,Legal Justification by Optimal Coherence
https://openalex.org/W1967260891,The Good of Marriage and the Morality of Sexual Relations: Some Philosophical and Historical Observations
https://openalex.org/W1977899774,The Closeness Problem and the Doctrine of Double Effect: A Way Forward
https://openalex.org/W1979872772,Constitutional Interpretation: Originalism
https://openalex.org/W2009157601,Levinasian Ethics and Legal Obligation
https://openalex.org/W2019280314,The New Natural Law Theory: A Reply to Jean Porter
https://openalex.org/W2053014455,The Absolute Prohibition of Lying and the Origins of the Casuistry of Mental Reservation: Augustinian Arguments and Thomistic Developments
https://openalex.org/W2053659565,Still wrong after all these years
https://openalex.org/W2158899378,Five Minutes of Legal Philosophy (1945)
https://openalex.org/W3121613828,Functions in Jurisprudential Methodology
https://openalex.org/W143717986,Private law as an open legal order: understanding contract and tort as interactional law
https://openalex.org/W1583439904,International Law's Relative Authority
https://openalex.org/W1898777572,Who is Afraid of Radical Pluralism? Legal Order and Political Stability in the Postnational Space*
https://openalex.org/W1985971407,THE THEORY OF CRITICAL LEGAL STUDIES
