item,id,display_name,ror,country_code,type
https://openalex.org/W4211152801,NA,Leuphana University Lüneburg Universitätsallee 1 LüneburgD‐21335Germany,NA,NA,NA
https://openalex.org/W4211183670,https://openalex.org/I169335092,University of North Carolina at Greensboro,https://ror.org/04fnxsj42,US,education
https://openalex.org/W4211125108,NA,"Leuven Centre for Legal Theory and Empirical Jurisprudence LeuvenTiensestraat 45 – PO box 3441, 3000Leuven Belgium",NA,NA,NA
https://openalex.org/W4211125108,NA,"Leuven Centre for Legal Theory and Empirical Jurisprudence LeuvenTiensestraat 41 – PO box 3413, 3000Leuven Belgium",NA,NA,NA
https://openalex.org/W4205348507,NA,Faculty of Law Vrije Universiteit Amsterdam De Boelelaan 1077 Amsterdam1081 HVThe Netherlands,NA,NA,NA
https://openalex.org/W3204710384,https://openalex.org/I187481652,Instituto Tecnológico Autónomo de México,https://ror.org/029md1766,MX,education
https://openalex.org/W3202394032,https://openalex.org/I900890020,University of Palermo,https://ror.org/044k9ta02,IT,education
https://openalex.org/W3202394032,https://openalex.org/I900890020,University of Palermo,https://ror.org/044k9ta02,IT,education
https://openalex.org/W3204486853,https://openalex.org/I160856358,University of San Diego,https://ror.org/03jbbze48,US,education
https://openalex.org/W3198991017,https://openalex.org/I15766117,University of Graz,https://ror.org/01faaaf77,AT,education
https://openalex.org/W3204640324,https://openalex.org/I120125038,Bond University,https://ror.org/006jxzx88,AU,education
https://openalex.org/W3199360120,https://openalex.org/I170486558,Pompeu Fabra University,https://ror.org/04n0g0b29,ES,education
https://openalex.org/W3187323579,https://openalex.org/I63634437,Autonomous University of Madrid,https://ror.org/01cby8j38,ES,education
https://openalex.org/W3187670466,NA,Deakin Law School 221 Burwood Highway Burwood VIC 3125 Australia,NA,NA,NA
https://openalex.org/W3192380393,https://openalex.org/I132053463,Université Libre de Bruxelles,https://ror.org/01r9htc13,BE,education
https://openalex.org/W3191809608,https://openalex.org/I95674353,Université Catholique de Louvain,https://ror.org/02495e989,BE,education
https://openalex.org/W3191261748,https://openalex.org/I162290304,Sant'Anna School of Advanced Studies,https://ror.org/025602r80,IT,education
https://openalex.org/W3194975092,NA,Departamento de Geociencias y Medio Ambiente,NA,NA,NA
https://openalex.org/W3162455444,NA,145 Vasquez Avenue San Francisco California94127USA,NA,NA,NA
https://openalex.org/W3162080846,https://openalex.org/I909854389,London School of Economics and Political Science,https://ror.org/0090zs177,GB,education
https://openalex.org/W3160640793,https://openalex.org/I34352273,Maastricht University,https://ror.org/02jz4aj89,NL,education
https://openalex.org/W3162437831,https://openalex.org/I189158943,University of Milan,https://ror.org/00wjc7c48,IT,education
https://openalex.org/W3162437831,https://openalex.org/I189158943,University of Milan,https://ror.org/00wjc7c48,IT,education
https://openalex.org/W3129743746,https://openalex.org/I9300472,Bournemouth University,https://ror.org/05wwcw481,GB,education
https://openalex.org/W3129743746,https://openalex.org/I183935753,King's College London,https://ror.org/0220mzb33,GB,education
https://openalex.org/W3111530428,https://openalex.org/I51556381,University of Virginia,https://ror.org/0153tk833,US,education
https://openalex.org/W3119425301,https://openalex.org/I135428043,Archer,NA,US,NA
https://openalex.org/W3113305997,NA,Emeritus FellowPembroke College OxfordOX1 1DWUK,NA,NA,NA
https://openalex.org/W3120369266,https://openalex.org/I15766117,University of Graz,https://ror.org/01faaaf77,AT,education
https://openalex.org/W3118988231,https://openalex.org/I46896624,Facultad de Filosofía y Letras,NA,MX,NA
https://openalex.org/W3118988231,https://openalex.org/I99464096,KU Leuven,https://ror.org/05f950310,BE,education
https://openalex.org/W3014727793,https://openalex.org/I129774422,University of Vienna,https://ror.org/03prydq77,AT,education
https://openalex.org/W2939408979,https://openalex.org/I127110123,Londrina State University,https://ror.org/01585b035,BR,education
https://openalex.org/W3093247768,https://openalex.org/I204778367,Norwegian University of Science and Technology,https://ror.org/05xg72x27,NO,education
https://openalex.org/W3092667227,https://openalex.org/I181369854,University of Erlangen-Nuremberg,https://ror.org/00f7hpc57,DE,education
https://openalex.org/W3093356250,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education
https://openalex.org/W3046515448,https://openalex.org/I79940851,University of Brescia,https://ror.org/02q2d2610,IT,education
https://openalex.org/W3045598791,https://openalex.org/I16465266,Austral University of Chile,https://ror.org/029ycp228,CL,education
https://openalex.org/W2995806361,https://openalex.org/I59433898,Brunel University London,https://ror.org/00dn4t376,GB,education
https://openalex.org/W3009134116,https://openalex.org/I98251732,McMaster University,https://ror.org/02fa3aq29,CA,education
https://openalex.org/W3009134116,https://openalex.org/I190082696,Durham University,https://ror.org/01v29qb04,GB,education
https://openalex.org/W3012846456,https://openalex.org/I149899117,Max Planck Society,https://ror.org/01hhn8329,DE,nonprofit
https://openalex.org/W3123733585,https://openalex.org/I874792244,European University Institute,https://ror.org/0031wrj91,IT,education
https://openalex.org/W2940206645,https://openalex.org/I161593684,Stockholm University,https://ror.org/05f0yaq80,SE,education
https://openalex.org/W3035238415,https://openalex.org/I130238516,University of Minnesota,https://ror.org/017zqws13,US,education
https://openalex.org/W3018477538,https://openalex.org/I167724894,Universidad Autónoma de la Ciudad de México,https://ror.org/04q0r6m34,MX,education
https://openalex.org/W3019650076,https://openalex.org/I184942183,University of Oslo,https://ror.org/01xtthb56,NO,education
https://openalex.org/W3020047788,https://openalex.org/I4432739,University of Bergen,https://ror.org/03zga2b32,NO,education
https://openalex.org/W3017726584,https://openalex.org/I126596746,Jagiellonian University,https://ror.org/03bqmcz70,PL,education
https://openalex.org/W3019129997,https://openalex.org/I15766117,University of Graz,https://ror.org/01faaaf77,AT,education
https://openalex.org/W3020278313,https://openalex.org/I86519309,The University of Texas at Austin,https://ror.org/00hj54h04,US,education
https://openalex.org/W3019224220,https://openalex.org/I36443711,Magna Graecia University,https://ror.org/0530bdk91,IT,education
https://openalex.org/W2997945507,https://openalex.org/I913958620,Erasmus University Rotterdam,https://ror.org/057w15z03,NL,education
https://openalex.org/W2997117290,https://openalex.org/I161593684,Stockholm University,https://ror.org/05f0yaq80,SE,education
https://openalex.org/W2998294723,https://openalex.org/I118564535,University of Bern,https://ror.org/02k7v4d05,CH,education
https://openalex.org/W2998573253,https://openalex.org/I135428043,Archer,NA,US,NA
https://openalex.org/W2997583786,https://openalex.org/I166337079,Queen Mary University of London,https://ror.org/026zzn846,GB,education
https://openalex.org/W2998047840,https://openalex.org/I32021983,Kiel University,https://ror.org/04v76ef78,DE,education
https://openalex.org/W2969493271,https://openalex.org/I153648349,University of Leicester,https://ror.org/04h699437,GB,education
https://openalex.org/W2998571529,https://openalex.org/I185261750,University of Toronto,https://ror.org/03dbr7087,CA,education
https://openalex.org/W2954004913,https://openalex.org/I57206974,New York University,https://ror.org/0190ak572,US,education
https://openalex.org/W2998038112,https://openalex.org/I1327163397,State University of New York,https://ror.org/01q1z8k08,US,education
https://openalex.org/W2988719951,https://openalex.org/I167724894,Universidad Autónoma de la Ciudad de México,https://ror.org/04q0r6m34,MX,education
https://openalex.org/W3027215793,NA,Faculdade de Direito Milton Campos,NA,NA,NA
https://openalex.org/W2987905900,NA,Universidad de Granma,NA,NA,NA
https://openalex.org/W2986931569,https://openalex.org/I4210106163,Corporación Universitaria Minuto de Dios,https://ror.org/01r0dam38,CO,education
https://openalex.org/W2984379590,NA,Academia Superior de Artes,NA,NA,NA
https://openalex.org/W2985390600,NA,Fundación Universitaria Claretiana,NA,NA,NA
https://openalex.org/W2985649972,https://openalex.org/I4210146578,Corporación Universitaria Remington,https://ror.org/04zwxg371,CO,education
https://openalex.org/W2989211992,https://openalex.org/I186442907,Universidad de Oriente,https://ror.org/03xygw105,VE,education
https://openalex.org/W2985633887,https://openalex.org/I4210150825,Universidad Autónoma Latinoamericana,https://ror.org/05tkb8v92,CO,education
https://openalex.org/W2987685290,https://openalex.org/I4210150825,Universidad Autónoma Latinoamericana,https://ror.org/05tkb8v92,CO,education
https://openalex.org/W2989396353,https://openalex.org/I181028852,Pontifical Bolivarian University,https://ror.org/02dxm8k93,CO,education
https://openalex.org/W2989396353,https://openalex.org/I181028852,Pontifical Bolivarian University,https://ror.org/02dxm8k93,CO,education
https://openalex.org/W2989396353,https://openalex.org/I181028852,Pontifical Bolivarian University,https://ror.org/02dxm8k93,CO,education
https://openalex.org/W2969654174,https://openalex.org/I165932596,National University of Singapore,https://ror.org/01tgyzw49,SG,education
https://openalex.org/W2929995626,https://openalex.org/I7882870,University of Glasgow,https://ror.org/00vtgdb53,GB,education
https://openalex.org/W2969305865,https://openalex.org/I78650965,TU Dresden,https://ror.org/042aqky30,DE,education
https://openalex.org/W2969746413,https://openalex.org/I149899117,Max Planck Society,https://ror.org/01hhn8329,DE,nonprofit
https://openalex.org/W2969356120,https://openalex.org/I102401767,University of Arkansas at Little Rock,https://ror.org/04fttyv97,US,education
https://openalex.org/W2969851372,https://openalex.org/I201448701,University of Washington,https://ror.org/00cvxb145,US,education
https://openalex.org/W2947040082,https://openalex.org/I887064364,University of Amsterdam,https://ror.org/04dkp9463,NL,education
https://openalex.org/W2912561730,https://openalex.org/I891191580,Aalborg University,https://ror.org/04m5j1k67,DK,education
https://openalex.org/W2912561730,https://openalex.org/I184942183,University of Oslo,https://ror.org/01xtthb56,NO,education
https://openalex.org/W2927748643,https://openalex.org/I1174212,University of Southern California,https://ror.org/03taz7m60,US,education
https://openalex.org/W2947080531,https://openalex.org/I197251160,Hebrew University of Jerusalem,https://ror.org/03qxff017,IL,education
https://openalex.org/W2947640362,NA,Department of Social and Political Sciences Via Conservatorio 720122Milan Italy,NA,NA,NA
https://openalex.org/W2916706193,https://openalex.org/I185852735,University of Central Lancashire,https://ror.org/010jbqd54,GB,education
https://openalex.org/W2916423802,https://openalex.org/I19772626,Yeshiva University,https://ror.org/045x93337,US,education
https://openalex.org/W2939211168,https://openalex.org/I160856358,University of San Diego,https://ror.org/03jbbze48,US,education
https://openalex.org/W2939211168,https://openalex.org/I232641801,Torcuato di Tella University,https://ror.org/04sxme922,AR,education
