"id","stat_inf_class","Modularity.Class","Label","eigen"
"https://openalex.org/W1022946631",30,5,"Democracy and Distrust",0.000121936320396789
"https://openalex.org/W103431794",0,9,"International Law and Morality in the Theory of Secession",0.000438744687034305
"https://openalex.org/W104357497",33,0,"Exemplary Reasoning: Semantics, Pragmatics, and the Rational Force of Legal Argument by Analogy",0.000150703632458152
"https://openalex.org/W104378995",2,5,"The Supreme Court, 1982 Term -- Foreword: Nomos and Narrative",0.000144442797928198
"https://openalex.org/W105723337",25,12,"Thirty Years On",0.00638057071978399
"https://openalex.org/W106159907",21,9,"Political Obligation: A Critical Introduction",0.00041153734685933
"https://openalex.org/W107842537",19,9,"Liberalism without Perfection",0.000212509149960603
"https://openalex.org/W109677913",4,5,"The Core of the Case Against Judicial Review",0.00623900967863587
"https://openalex.org/W1104365280",2,7,"Eliminative Materialism, Neuroscience and the Criminal Law",9.06948102753608e-06
"https://openalex.org/W1152817606",5,11,"Self-expression: a deep self theory of moral responsibility",7.54303831303544e-07
"https://openalex.org/W1172060961",18,9,"The Sandelian Republic and the Encumbered Self",4.04292841474801e-05
"https://openalex.org/W127338104",26,11,"The Collapse of the Harm Principle",1.8098259216114e-05
"https://openalex.org/W127361949",2,7,"Violence and the Word",0.000109595384734735
"https://openalex.org/W129283682",14,0,"Modelling Reasoning with Precedents in a Formal Dialogue Game",9.10157366069728e-05
"https://openalex.org/W135169145",14,0,"Artificial Intelligence and Law: Stepping Stones to a Model of Legal Reasoning",5.01633948843221e-05
"https://openalex.org/W136591480",22,12,"Kant's Legal Positivism",0.00237777631578814
"https://openalex.org/W138458895",4,12,"The Case of the Speluncean Explorers",9.08661633306681e-05
"https://openalex.org/W143717986",35,5,"Private law as an open legal order: understanding contract and tort as interactional law",0.0253879383981252
"https://openalex.org/W1450459739",0,9,"Some Confusions Concerning Collective Rights",0.000380224039170889
"https://openalex.org/W145388696",32,9,"What is Equality? Part 1: Equality of Welfare",0.000105582013092858
"https://openalex.org/W1469406",19,9,"The Idea of Public Reason Revisited",0.000120728243045763
"https://openalex.org/W1480951599",14,0,"Jumps and logic in the law",6.88064887485535e-05
"https://openalex.org/W1482768500",14,0,"The Role of Logic in Computational Models of Legal Argument: A Critical Survey",6.82816256840608e-06
"https://openalex.org/W1483374326",18,9,"Sovereign Virtue: The Theory and Practice of Equality",0.000238502722513038
"https://openalex.org/W1484347295",14,0,"Jaap Hage, Reasoning with Rules: An Essay on Legal Reasoning and Its Underlying Logic. Law and Philosophy Library",1.16822208413036e-05
"https://openalex.org/W1484722677",14,0,"Argumentation Machines: New Frontiers in Argument and Computation",2.86225898625429e-06
"https://openalex.org/W1485501857",20,12,"Pure Theory of Law",0.00565222122854279
"https://openalex.org/W1485844409",9,12,"Where Law and Morality Meet",0.00389367352314825
"https://openalex.org/W1485874378",2,7,"The Idea of Private Law",0.00118051096259668
"https://openalex.org/W1486267044",14,0,"The role of context in case-based legal reasoning: teleological, temporal, and procedural",1.75934310892724e-05
"https://openalex.org/W1487323630",22,6,"Justice, Gender, and the Politics of Multiculturalism",1.68149981655114e-06
"https://openalex.org/W1487379640",24,13,"A constructive framework for legal ontologies",1.91491083539336e-05
"https://openalex.org/W1488505771",14,0,"The New Rhetoric: A Treatise on Argumentation",3.36546109300222e-05
"https://openalex.org/W1489372415",5,11,"Punishment and responsibility",0.000129904892225043
"https://openalex.org/W1490967561",2,7,"Contract Law and Distributive Justice",6.66308253957078e-05
"https://openalex.org/W1491223880",4,5,"The Tempting of America: The Political Seduction of the Law",6.20879501969135e-05
"https://openalex.org/W1491401198",33,12,"The Works of Jeremy Bentham",0.000145502377115302
"https://openalex.org/W1492279571",5,11,"Forgiveness and Mercy",2.65791841091687e-05
"https://openalex.org/W1493648651",23,12,"The Rule of State Law Versus the Rule-of-Law State: Economic Analysis of the Legal Foundations of Development",6.12473396655029e-05
"https://openalex.org/W1494817860",29,9,"A theory of political obligation : membership, commitment, and the bonds of society",0.000147256851268441
"https://openalex.org/W1495037185",16,10,"Indigenous rights and United Nations standards : self-determination, culture and land",8.19333107026371e-06
"https://openalex.org/W1495102811",5,19,"A history of the criminal law of England",1.01900473664556e-05
"https://openalex.org/W1497100241",32,9,"Fairness, responsibility, and welfare",2.32127899040544e-05
"https://openalex.org/W1497647472",5,11,"Punishment, Communication, and Community",0.000162569398171395
"https://openalex.org/W1498667339",30,5,"Dynamic statutory interpretation",7.00615788599296e-05
"https://openalex.org/W1498731399",4,5,"Is Democracy Possible Here?: Principles for a New Political Debate",0.000486477962633951
"https://openalex.org/W1499476502",8,12,"Constitutional Justice: A Liberal Theory of the Rule of Law",0.000780661945110061
"https://openalex.org/W1500187011",27,11,"Harsh Justice: Criminal Punishment and the Widening Divide Between America and Europe",3.0388202802909e-06
"https://openalex.org/W1501756943",14,0,"Expert Systems in Law",2.75386917966917e-05
"https://openalex.org/W1501768235",10,12,"Natural law in jurisprudence and politics",0.00317684590583911
"https://openalex.org/W1503479491",5,11,"Overcriminalization: The Limits of the Criminal Law",1.44334180739421e-05
"https://openalex.org/W1504060166",2,7,"The Common Law",0.00027353068563173
"https://openalex.org/W1504175823",33,0,"An introduction to law and legal reasoning",9.19112869590121e-05
"https://openalex.org/W1504344787",27,20,"Classical legal positivism in international law revisited",0.844251208678254
"https://openalex.org/W1504374584",7,12,"Can There be a Theory of Law",0.0119798735208724
"https://openalex.org/W1504699294",5,19,"Causation and the Excuses",3.97221052942742e-06
"https://openalex.org/W1507034046",31,12,"Law as a Social System",0.00019505923909229
"https://openalex.org/W1507985951",33,12,"The Model of Rules",0.00154642745671685
"https://openalex.org/W1508183662",20,9,"Naturrecht und materiale Gerechtigkeit",8.51562773660626e-07
"https://openalex.org/W1508429220",26,11,"Responsibility in law and morality",2.94915478111898e-05
"https://openalex.org/W1508831339",24,11,"Moral Dimensions: Permissibility, Meaning, Blame",5.88527122030553e-05
"https://openalex.org/W1509866152",20,23,"Natural law and the theory of property : Grotius to Hume",1.68439972535404e-05
"https://openalex.org/W1510947511",13,2,"Justice, Legitimacy, and Self-Determination: Moral Foundations for International Law",0.000615129083688623
"https://openalex.org/W1511258558",30,7,"The Problems of Jurisprudence",0.000258228361989987
"https://openalex.org/W1511264461",5,11,"The Second-Person Standpoint: Morality, Respect, and Accountability",0.000179139865637765
"https://openalex.org/W1512637848",33,0,"The nature of the common law",0.000114324636621591
"https://openalex.org/W1514075784",21,9,"In Defense of Anarchism",0.000416614282388178
"https://openalex.org/W1514428340",29,6,"Faces of Intention: Selected Essays on Intention and Agency",0.000262947800309306
"https://openalex.org/W1514637386",14,0,"Logical Tools for Modelling Legal Argument",9.7603851991464e-05
"https://openalex.org/W1514715482",22,6,"The Citizen and the Alien: Dilemmas of Contemporary Membership",3.37075954414702e-06
"https://openalex.org/W1515891061",7,12,"Natural Law Theory",0.000263855444878082
"https://openalex.org/W1516740357",2,7,"Justice as translation : an essay in cultural and legal criticism",2.95039091769181e-05
"https://openalex.org/W1517612892",2,2,"System des heutigen römischen Rechts",4.11945740528241e-05
"https://openalex.org/W1518206697",33,7,"Semiotics and Legal Theory",7.63874777588709e-05
"https://openalex.org/W1518249528",14,0,"The Pleadings Game: An Artificial Intelligence Model of Procedural Justice",5.5175578408587e-05
"https://openalex.org/W1518929111",35,12,"The Oxford handbook of jurisprudence and philosophy of law",0.00652222484826032
"https://openalex.org/W1519482041",8,12,"Freedom and the Law",4.48516718262556e-05
"https://openalex.org/W1519668286",20,13,"The Expressive Conception of Norms",0.000484820925618872
"https://openalex.org/W1520061437",33,12,"Crime and punishment in ancient Rome",7.50421316485243e-05
"https://openalex.org/W1520198837",34,2,"Ruling the World?: The Cosmopolitan Turn in Constitutionalism: On the Relationship between Constitutionalism in and beyond the State",0.000764720835729376
"https://openalex.org/W1521433304",14,0,"Credulous and Sceptical Argument Games for Preferred Semantics",6.46218781887851e-06
"https://openalex.org/W1522331304",19,9,"Religion and the obligations of citizenship",1.9310784072728e-05
"https://openalex.org/W1522342316",33,5,"A Theory of Constitutional Rights",0.00137127813011578
"https://openalex.org/W1523838136",33,12,"Bentham and the Common Law Tradition",0.00263639158385711
"https://openalex.org/W1524164055",14,0,"Teaching case-based argumentation through a model and examples",7.3705892941344e-05
"https://openalex.org/W1525480575",24,1,"Killing in War",4.53518100391585e-05
"https://openalex.org/W1527018558",9,12,"The Practice of Principle: In Defence of a Pragmatist Approach to Legal Theory",0.00691117301734218
"https://openalex.org/W1527525914",14,0,"Argument in Artificial Intelligence and Law",1.0694101260636e-05
"https://openalex.org/W1527529729",26,11,"12. The Difficulty of Tolerance",0.000118561263348964
"https://openalex.org/W1528305927",29,18,"Group Agency: The Possibility, Design, and Status of Corporate Agents",8.95159714914315e-05
"https://openalex.org/W1528529777",30,5,"A Matter of Interpretation: Federal Courts and the Law",0.000171095493940955
"https://openalex.org/W1528832188",5,19,"Textbook of criminal law",9.30438866925081e-06
"https://openalex.org/W1529277309",25,12,"Essays in jurisprudence and philosophy",0.00617955312937462
"https://openalex.org/W1531766078",33,12,"A comment on the Commentaries and A fragment on government",0.000785859176278547
"https://openalex.org/W1531887372",14,0,"Douglas Walton, The New Dialectic. Conversational Contexts of Argument. Toronto: University of Toronto Press (Book Review)",9.14470562107602e-07
"https://openalex.org/W1533067089",35,12,"The Blackwell Guide to the Philosophy of Law and Legal Theory",0.00207864820174139
"https://openalex.org/W1533531500",24,1,"Liability to Defensive Harm",1.16953666701317e-05
"https://openalex.org/W1534854312",4,5,"American constitutional law",5.05562641387638e-05
"https://openalex.org/W1536162307",10,12,"The argument from injustice : a reply to legal positivism",0.00847321975278883
"https://openalex.org/W1537046490",11,9,"The limits of morality",0.000285356400227358
"https://openalex.org/W1537848071",24,13,"Legal knowledge engineering : a modelling approach",3.92726351188321e-05
"https://openalex.org/W1537940627",22,4,"Quid juris? Quid facti?: D’une nouvelle tentative de relever une opposition capitale: Jean-Renaud Seba, Le partage de l’empirique et du transcendantal. Essai sur la normativité de la raison: Kant, Hegel, Husserl. Bruxelles, Éditions Ousia, 2006, 440 pp., 24 Euros, ISBN 978-2-87060-126-6",3.66820934004499e-06
"https://openalex.org/W1539153592",16,2,"The Idea of Human Rights",0.000634801816959374
"https://openalex.org/W1539274691",4,5,"Freedom's Law: The Moral Reading of the American Constitution",0.000884531862024295
"https://openalex.org/W1539331218",34,2,"Domination and Global Political Justice: Conceptual, Historical and Institutional Perspectives",4.67448968022012e-06
"https://openalex.org/W1539774528",36,9,"The constitution of equality",0.000371234976432298
"https://openalex.org/W1540639531",2,7,"Rethinking Legal Realism: Toward a Naturalized Jurisprudence",0.00231223362285812
"https://openalex.org/W1541077798",10,10,"Rawls's Political Liberalism. A Reassessment",0.000201799353360265
"https://openalex.org/W1541703906",5,11,"Living without free will",8.59512119882711e-06
"https://openalex.org/W1541980668",30,12,"Jurisprudence: Theory and Context",0.00112368861275939
"https://openalex.org/W1542071146",22,5,"Questioning Sovereignty: Law, State, and Nation in the European Commonwealth",0.000104858533177541
"https://openalex.org/W1543073428",27,20,"Ours is a broad church: indirectly evaluative legal philosophy as a facet of jurisprudential inquiry",0.843063312427212
"https://openalex.org/W1543091713",22,9,"Liberal Loyalty: Freedom, Obligation, and the State",7.05460465714702e-05
"https://openalex.org/W1544387588",29,6,"Autonomy and the Challenges to Liberalism: Political Liberty: Integrating Five Conceptions of Autonomy",7.30899646379484e-06
"https://openalex.org/W1544949079",18,9,"The dignity of legislation",0.000248423427338163
"https://openalex.org/W1547717991",7,12,"Vagueness in Law and Language: Some Philosophical Issues",9.19669381268097e-05
"https://openalex.org/W1547766285",7,12,"Lloyd's Introduction to Jurisprudence",0.000140180815811555
"https://openalex.org/W1547775889",22,9,"Democratic Equality and Political Authority",7.13791019852381e-05
"https://openalex.org/W1548327129",11,9,"An analysis of rights",0.00037507068715444
"https://openalex.org/W1548654059",5,11,"Censure and sanctions",4.32486920871779e-05
"https://openalex.org/W1550009688",25,12,"Globalisation and legal theory",0.00179073618669854
"https://openalex.org/W1553120579",20,9,"The spirit of the laws",9.00461593392226e-05
"https://openalex.org/W1553362627",33,12,"Institutions of Law: An Essay in Legal Theory",0.000268280018930289
"https://openalex.org/W1556061918",24,1,"An Introduction to the International Criminal Court",8.71264748324222e-06
"https://openalex.org/W1556205930",24,7,"Torts and Rights",2.55739087662665e-05
"https://openalex.org/W1556249953",34,2,"Republican liberty and border controls",0.000137791301339305
"https://openalex.org/W1557385359",18,9,"Harm to Self",9.54042620316192e-05
"https://openalex.org/W1557385649",11,9,"Fundamental legal conceptions as applied in judicial reasoning",0.000488157009083255
"https://openalex.org/W1558461042",25,12,"Interpretation and Legal Theory",0.0034984665856694
"https://openalex.org/W1558581835",13,2,"Beyond the Social Contract: Capabilities and Global Justice",8.48673365577612e-06
"https://openalex.org/W1559613097",4,5,"Participation and Judicial Review: A Reply to Jeremy Waldron",9.59864267227124e-05
"https://openalex.org/W1563201617",20,12,"On law and justice",0.00311455208373399
"https://openalex.org/W1563715884",4,5,"A Common Law Theory of Judicial Review: The Living Tree",0.00020121030318063
"https://openalex.org/W1564062619",33,0,"A Theory of Legal Argumentation: The Theory of Rational Discourse as Theory of Legal Justification",0.00102715299699022
"https://openalex.org/W1564524054",24,21,"Philosophical foundations of tort law",0.000352784582005172
"https://openalex.org/W1565174900",24,13,"General Theory of Norms",0.000131873615048807
"https://openalex.org/W1566220732",29,6,"Autonomy, self-knowledge, and liberal legitimacy",7.31366233465355e-06
"https://openalex.org/W1566598272",14,0,"Teleological arguments and theory-based dialectics",4.25109801145498e-05
"https://openalex.org/W1566778104",22,12,"Kant and Cosmopolitanism: The Philosophical Ideal of World Citizenship",3.90996720432206e-06
"https://openalex.org/W1567091907",20,12,"The Gentle Civilizer of Nations: The Rise and Fall of International Law 1870–1960",7.43276746877844e-05
"https://openalex.org/W1567259932",14,0,"Emotive Language in Argumentation",1.07426880545956e-06
"https://openalex.org/W1567271907",5,11,"Principles of Criminal Law",2.98635615340333e-05
"https://openalex.org/W1567306273",16,10,"An Introduction to Law and Regulation: Text and Materials",3.18852953847266e-05
"https://openalex.org/W1568392343",9,12,"In Defense of Legal Positivism: Law without Trimmings",0.00653152843780368
"https://openalex.org/W1568887659",7,12,"Exploring law's empire : the jurisprudence of Ronald Dworkin",0.000249812342575966
"https://openalex.org/W1570099351",33,0,"On law and reason",0.000388982838565315
"https://openalex.org/W1570135578",28,2,"A Theory of Secession: The Case for Political Self-Determination",9.75133221232092e-05
"https://openalex.org/W1570210665",4,5,"Constitutionalism: Philosophical Foundations",8.52794417220788e-05
"https://openalex.org/W1571603731",2,7,"Law and the modern mind",0.000309867194748648
"https://openalex.org/W1574390379",8,5,"The Least Dangerous Branch: The Supreme Court at the Bar of Politics",0.000440393135446953
